year,round,category_encoded,institute_type_encoded,actual_closing_rank,predicted_closing_rank,residual,abs_error,pct_error
2025,5,2,0,57628.0,58607,-979.3357994204707,979.3357994204707,1.6994096609642375
2025,6,2,0,64485.0,65640,-1154.7734581951227,1154.7734581951227,1.790762903303284
2025,1,2,0,50710.0,46784,3926.222994259064,3926.222994259064,7.74250245367593
2025,1,2,0,2475.0,2496,-20.9667270039331,20.9667270039331,0.847140485007398
2025,2,2,0,59214.0,55845,3369.022222365551,3369.022222365551,5.689570409642231
2025,2,2,0,3972.0,3938,33.53333032708042,33.53333032708042,0.8442429588892351
2025,3,2,0,60376.0,55994,4382.158907722311,4382.158907722311,7.2581139984800425
2025,3,2,0,3972.0,3949,22.59311207311248,22.59311207311248,0.5688094681045438
2025,4,2,0,60376.0,56287,4088.512673029072,4088.512673029072,6.771751479112681
2025,4,2,0,3972.0,3948,24.455658369408866,24.455658369408866,0.6157013688169402
2025,5,2,0,60499.0,56619,3879.84395415536,3879.84395415536,6.413071214657036
2025,5,2,0,3972.0,3948,23.622325036075836,23.622325036075836,0.5947211741207411
2025,6,2,0,67237.0,57687,9550.451742321595,9550.451742321595,14.204161015990593
2025,1,2,0,89120.0,94837,-5716.586917989422,5716.586917989422,6.414482627905545
2025,2,2,0,110055.0,120015,-9960.431125240473,9960.431125240473,9.050412180492003
2025,3,2,0,110055.0,119344,-9289.011201298708,9289.011201298708,8.440335469809375
2025,4,2,0,110055.0,118348,-8293.18910143098,8293.18910143098,7.535495071946737
2025,5,2,0,110055.0,118243,-8187.788109367495,8187.788109367495,7.4397238738517055
2025,6,2,0,110055.0,118523,-8468.43863846804,8468.43863846804,7.694733213818582
2025,1,2,0,92405.0,93460,-1055.4409457671863,1055.4409457671863,1.1421902989742831
2025,1,2,0,3211.0,5479,-2267.5587148268396,2267.5587148268396,70.61845888591839
2025,2,2,0,95560.0,93993,1567.3447519841284,1567.3447519841284,1.6401682209963673
2025,3,2,0,101205.0,102653,-1448.0940504512546,1448.0940504512546,1.4308522804715722
2025,4,2,0,106666.0,105306,1359.5227107383253,1359.5227107383253,1.2745605073203508
2025,5,2,0,114043.0,110450,3592.8562310606503,3592.8562310606503,3.1504399490197996
2025,6,2,0,128531.0,118091,10440.43256523578,10440.43256523578,8.122890637461609
2025,1,3,0,9425.0,9587,-161.87164397978086,161.87164397978086,1.7174710236581525
2025,2,3,0,11017.0,10769,247.8307240413451,247.8307240413451,2.249530035775121
2025,3,3,0,11466.0,11562,-96.12212154448935,96.12212154448935,0.8383230555074948
2025,4,3,0,11466.0,11849,-382.81767042466527,382.81767042466527,3.338720307209709
2025,5,3,0,11558.0,11843,-285.42020108844554,285.42020108844554,2.4694601236238585
2025,6,3,0,11619.0,11966,-346.9121558746301,346.9121558746301,2.9857316109357956
2025,1,3,0,13772.0,15312,-1540.3758583003582,1540.3758583003582,11.184837774472541
2025,2,3,0,14723.0,15265,-541.6166020742512,541.6166020742512,3.678710874646819
2025,3,3,0,14723.0,15287,-564.1915816239507,564.1915816239507,3.8320422578547215
2025,4,3,0,14723.0,15249,-525.9333173249925,525.9333173249925,3.5721885303606085
2025,5,3,0,14723.0,15249,-526.1359677879555,526.1359677879555,3.57356495135472
2025,6,3,0,17977.0,18365,-387.5631490980377,387.5631490980377,2.1558833459311213
2025,1,3,0,14268.0,16194,-1926.0689346528143,1926.0689346528143,13.499221577325585
2025,2,3,0,14795.0,16684,-1889.399813316395,1889.399813316395,12.770529322854983
2025,3,3,0,14851.0,15968,-1117.1688504381618,1117.1688504381618,7.5225159951394645
